# Idx	Met	Resp	Teff	logg	M/H	vturb	a (linear ld)	u1 (quad ld)	u2 (quad ld)    	b1 (three par)	b2 (three par)	b3 (three par)	c1 (non linear)	c2 (non linear)	c3 (non linear)	c4 (non linear)	l1 (logarithm)	l2 (logarithm)  	e1 (exponent)	e2 (exponent)    	s1 (sqrt law)	s2 (sqrt law)	
0	A100	1	3500.0	0.0	0.0	1.0	0.800007875523	0.829814665114	-0.0399431052437	1.69575914497	-1.94757834724	1.0867011545	0.988805989064	-1.22804679138	1.47735740705	-0.297669092933	0.793452801526	-0.0155031082807	0.791751052302	-0.000685719806806	0.797631165141	0.00341454933539
1	A100	1	3500.0	0.5	0.0	1.0	0.794905928648	0.828487731848	-0.0450018776892	1.71044025034	-2.00137404378	1.12067330979	0.963975407029	-1.13994399969	1.33755581132	-0.228933071552	0.786689023482	-0.0194334298245	0.786872085073	-0.000667201600054	0.79801121628	-0.00446127466986
2	A100	1	3500.0	1.0	0.0	1.0	0.788300994544	0.822969477285	-0.0464581014505	1.71672069794	-2.03166605785	1.13841047527	0.914957718204	-0.98872287499	1.13748080957	-0.14256906647	0.779643541448	-0.020475349761	0.780430781978	-0.000653612230316	0.792919113567	-0.00663471467148
3	A100	1	3500.0	1.5	0.0	1.0	0.781120373761	0.81497153326	-0.0453628332686	1.7116990396	-2.03328400954	1.13818480186	0.851256557874	-0.805386217561	0.915220604486	-0.0536104185221	0.77284129015	-0.0195804852465	0.773409319335	-0.000640394327163	0.784717079066	-0.00516727986993
4	A100	1	3500.0	2.0	0.0	1.0	0.774166690783	0.805986514138	-0.042640706044	1.69815859114	-2.0126934664	1.12439594821	0.780976196826	-0.611114275006	0.692380460472	0.0309962087274	0.766774029856	-0.017484047151	0.766615544309	-0.000627114153129	0.77520241808	-0.00148799869796
5	A100	1	3500.0	2.5	0.0	1.0	0.767704932225	0.795622502326	-0.0374114239059	1.67709538864	-1.96912712218	1.09575121705	0.71851476097	-0.447484909929	0.519598595547	0.0898001321821	0.762034881232	-0.0134099805041	0.760212577188	-0.000622231590944	0.763404435231	0.00617839652218
6	A100	1	3500.0	3.0	0.0	1.0	0.752967484237	0.755109807563	-0.00287085752078	1.64884933968	-1.85213930843	0.998333623985	0.691442561947	-0.395681022826	0.542816202197	0.0302847638896	0.759535613483	0.0155339846567	0.743811823402	-0.000760367251561	0.706507233473	0.0667480647223
7	A100	1	3500.0	3.5	0.0	1.0	0.704821754511	0.607885397739	0.129901245775	1.65944795293	-1.63032852698	0.746345664125	0.688801414061	-0.377272784674	0.755478817142	-0.218005477113	0.75937706245	0.129026285082	0.688018324506	-0.00139550581005	0.490006902815	0.308618128151
8	A100	1	3500.0	4.0	0.0	1.0	0.65455470801	0.461131033414	0.259200749123	1.77588754809	-1.63979008353	0.622131430126	0.591439792249	0.0270559322929	0.408784979105	-0.205909318607	0.756682057267	0.241536762926	0.629798427096	-0.00205598106096	0.270944698667	0.55112112635
9	A100	1	3500.0	4.5	0.0	1.0	0.618528399702	0.364584619943	0.340301765469	1.97287350801	-1.91021493915	0.68637470493	0.481922401101	0.547874476066	-0.240976200126	0.0116629404037	0.751513289197	0.314516532158	0.588032903012	-0.00253261642401	0.12291720869	0.712029903208
10	A100	1	3500.0	5.0	0.0	1.0	0.59773788637	0.310766076057	0.384561550519	2.12115526752	-2.14409123337	0.767815584941	0.413359310639	0.89889081963	-0.712335056696	0.189095049794	0.747899269437	0.355139878266	0.563853483898	-0.00281406120674	0.0389547043279	0.802787229665
11	A100	1	3500.0	0.0	0.0	4.0	0.826187547098	0.836998405258	-0.0144872779377	1.80389573471	-2.05061914388	1.1166262999	0.962069939129	-1.04085422668	1.28171072577	-0.23031234571	0.829395059633	0.0075859424571	0.816090794284	-0.000838523873423	0.788157636064	0.0546364455929
12	A100	1	3500.0	0.5	0.0	4.0	0.818297960738	0.837145159237	-0.0252565151595	1.81237286862	-2.11212268212	1.16045162639	0.954484386205	-1.00994732908	1.19393304305	-0.175866923975	0.817780574772	-0.00122364608903	0.808686851351	-0.000798191737462	0.792914194543	0.0364681042612
13	A100	1	3500.0	1.0	0.0	4.0	0.808190620153	0.8317207138	-0.0315319100048	1.81519118396	-2.15493908582	1.18973940237	0.923933483485	-0.91679287932	1.04529721652	-0.103806590766	0.805516847841	-0.00632361765859	0.798919018418	-0.000769996011838	0.790190614288	0.0258600747252
14	A100	1	3500.0	1.5	0.0	4.0	0.796962696108	0.822264448449	-0.0339060519587	1.80730076091	-2.16794062574	1.19910143603	0.878936040913	-0.79163011381	0.876437650226	-0.0314462324689	0.793443715536	-0.00832258138939	0.787940393981	-0.000749291962058	0.782071584189	0.0213936189721
15	A100	1	3500.0	2.0	0.0	4.0	0.785703255797	0.8104653417	-0.0331828625908	1.79142169829	-2.15656124279	1.19226220993	0.824431868849	-0.646345486494	0.699030466628	0.0380226898501	0.782378254516	-0.00786380976149	0.776856640771	-0.000734701347519	0.770530527255	0.0217982092227
16	A100	1	3500.0	2.5	0.0	4.0	0.774979089674	0.795952352685	-0.0281055847756	1.76682319466	-2.11488452099	1.16478509178	0.773917325732	-0.52157725623	0.565739533754	0.0812680706851	0.773333435744	-0.00389206148978	0.766134931515	-0.000734497307485	0.754538132174	0.029366917564
17	A100	1	3500.0	3.0	0.0	4.0	0.760862068238	0.762586514498	-0.00231087411325	1.72312674977	-1.98738378848	1.07046301316	0.754052064495	-0.506533999526	0.624432791154	0.0147581988202	0.768197969551	0.0173498075612	0.750918629322	-0.000825791327945	0.709915847077	0.0731929253812
18	A100	1	3500.0	3.5	0.0	4.0	0.721569900466	0.637175265631	0.113094493819	1.67748289312	-1.67636750557	0.787896823148	0.76123282786	-0.573410695359	0.960321145495	-0.277861363911	0.770155500621	0.114907599889	0.705371972045	-0.00134521958994	0.527115077712	0.279367478247
